artist_id,total_n_pqnt_texte,name,type,regex
1252527,83015,L's,remove,
1252527,83015,L’s,remove,
513155,77316,Les,remove,
12129,43039,Paris,remove,
4429712,34887,France,remove,
4131,23950,The The,fix,\bThe The\b
4131,23950,The,remove,
311357,12859,Che,remove,
311357,12859,Ché,remove,
94390,11810,Cristina,remove,
94390,11810,New York,remove,
153964,10615,Michel,remove,
66058372,10615,Michel,remove,
64308902,9593,Brö,fix,\bBrö\b
1046009,9034,David,remove,
1639085,9034,David,remove,
4890045,9034,The David,remove,
4890045,9034,David,remove,
126202,8646,Plus,remove,v
260397,8506,Jacques,remove,
260397,8506,Jacque(s),remove,
1903,8454,Europe,remove,
1903,8454,EUROPE,remove,
9801446,7852,Louis,remove,
151357,6383,Claude,remove,
82872,6084,Deux,remove,
475726,5858,Que,remove,
1299539,5500,Guè,remove,
1299539,5500,Gué,remove,
7079,5440,Culture,remove,
73830502,5440,Culture,remove,
241465,5329,Non,remove,
241465,5329,NON,remove,
132521,5295,Charles,remove,
3345,5229,James,remove,
6995,5196,Berlin,remove,
171,5195,Berlin,remove,
798,5012,Avant,remove,
113700,4924,Michael,remove,
113700,4924,Mickael,remove,
468805,4630,Los,remove,
14987,4628,Silence,remove,
14987,4628,silence,remove,
198654,4534,Art,remove,
11561,4418,Clémentine,remove,
11561,4418,Clementine,remove,
11561,4418,Clé,remove,
2248,4179,The Music,remove,
2248,4179,Music,remove,
4715,4126,Love,remove,
99272,4121,Jonny,remove,
99272,4121,Johnny,remove,
1228,4044,Johnny,remove,
469969,4033,Rien,remove,
469969,4033,Rein,remove,
1627,3923,Christophe,negative,\bChristophe\b(?! [A-Z])
1627,3923,Cristhophe,negative,\bCristhophe\b(?! [A-Z])
2090121,45,Suzane,negative,\bSuzane\b(?! [A-Z])
1039573,3698,Nord,remove,
7344,3625,Black,remove,
54141,3476,Christian,remove,
1,3445,Guitar,remove,
1,3445,Beat,remove,
1,3445,ዘ ቢተልስ,remove,
1,3445,দ্য বিটল্‌স,remove,
1,3445,ધ બિટલ્સ,remove,
1,3445,더 비틀즈,remove,
1,3445,द बीटल्स,remove,
1,3445,Bítlarnir,remove,
1,3445,ದಿ ಬೀಟಲ್ಸ್,remove,
1,3445,ദി ബീറ്റിൽസ്,remove,
1,3445,ਦ ਬੀਟਲਜ਼,remove,
1,3445,ద బీటిల్స్,remove,
1,3445,די ביטלס,remove,
1,3445,ᱫᱚ ᱵᱤᱴᱞᱮᱥ,remove,
1,3445,द बिटल्स,remove,
5953,3405,Henri,remove,
11028,3404,Magazine,remove,
11028,3404,magazine,remove,
72702,3399,Catherine,remove,
128266712,3110,Stéphane,remove,
126332812,3012,Rosé,remove,
126332812,3012,ROSÉ,remove,
126332812,3012,ROSIE,remove,
126332812,3012,ROSE,remove,
131321412,2995,Simon,remove,
